"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"BFT","AZİMUT PORTFÖY BANKA VE FİNANS SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","5,8526","0,9410","-","-12,1853","-","-","-"
"RCV","AZİMUT PORTFÖY BİRİNCİ ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","1,8862","-","-","-","-","-","-"
"HIZ","AZİMUT PORTFÖY DİNAMİK DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,7047","8,2452","5,0100","4,3051","-","-","-"
"OMG","AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,4489","3,4858","-","-","-","-","-"
"IDI","AZİMUT PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,4279","-4,7553","-","-","-","-","-"
"KOT","AZİMUT PORTFÖY KOÇ TOPLULUĞU ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,2338","-","-","-","-","-","-"
"OTM","AZİMUT PORTFÖY OTOMOTİV SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,0947","1,4779","-","-","-","-","-"
"PGS","AZİMUT PORTFÖY PAY GERİ ALIMI YAPAN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,3663","-","-","-","-","-","-"
"YPR","AZİMUT PORTFÖY YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,1860","-","-","-","-","-","-"
"BLT","BULLS PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","-","-","-","-","-","-","-"
"BCO","BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","-","-","-","-","-","-","-"
"BHA","BULLS PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,4914","-","-","-","-","-","-"
